lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek,combo
"292.02778850279010","363.97221149720990",00,45,Thursday,"splunkes01-stream:ip-main"
15,15,00,45,Thursday,"splunksearch01-exec-main"
15,15,00,45,Thursday,"splunksearch02-exec-main"
0,0,00,45,Thursday,"splunksearch02-stash-main"
15,15,00,45,Thursday,"splunksearch03-exec-main"
"387.00596808149567","1652.99403191850430",00,45,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Thursday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Thursday,"usesplunkfwd01-exec-main"
0,0,00,45,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Tuesday,"splunkes01-ess_content_importer-main"
"299.678998635391050","374.321001364608950",00,45,Tuesday,"splunkes01-stream:ip-main"
15,15,00,45,Tuesday,"splunksearch01-exec-main"
15,15,00,45,Tuesday,"splunksearch02-exec-main"
0,0,00,45,Tuesday,"splunksearch02-stash-main"
15,15,00,45,Tuesday,"splunksearch03-exec-main"
"297.6596495460462","1598.3403504539538",00,45,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Tuesday,"usesplunkfwd01-exec-main"
0,0,00,45,Wednesday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Wednesday,"splunkes01-ess_content_importer-main"
"282.23235535394275","367.76764464605725",00,45,Wednesday,"splunkes01-stream:ip-main"
15,15,00,45,Wednesday,"splunksearch01-exec-main"
15,15,00,45,Wednesday,"splunksearch02-exec-main"
0,0,00,45,Wednesday,"splunksearch02-stash-main"
15,15,00,45,Wednesday,"splunksearch03-exec-main"
"911.83337929768950","998.16662070231050",00,45,Wednesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Wednesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Wednesday,"usesplunkfwd01-exec-main"
0,0,01,00,Friday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Friday,"splunkes01-ess_content_importer-main"
"309.18363890273110","382.81636109726890",01,00,Friday,"splunkes01-stream:ip-main"
15,15,01,00,Friday,"splunksearch01-exec-main"
15,15,01,00,Friday,"splunksearch02-exec-main"
0,0,01,00,Friday,"splunksearch02-stash-main"
15,15,01,00,Friday,"splunksearch03-exec-main"
"345.1930362609656","1580.8069637390345",01,00,Friday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Friday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Friday,"usesplunkfwd01-exec-main"
0,0,01,00,Monday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Monday,"splunkes01-ess_content_importer-main"
"321.8006622589170","382.1993377410830",01,00,Monday,"splunkes01-stream:ip-main"
15,15,01,00,Monday,"splunksearch01-exec-main"
15,15,01,00,Monday,"splunksearch02-exec-main"
0,0,01,00,Monday,"splunksearch02-stash-main"
15,15,01,00,Monday,"splunksearch03-exec-main"
"314.49028999225290","1605.50971000774710",01,00,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Monday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Monday,"usesplunkfwd01-exec-main"
0,0,01,00,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Saturday,"splunkes01-ess_content_importer-main"
"310.116315357780700","397.883684642219300",01,00,Saturday,"splunkes01-stream:ip-main"
15,15,01,00,Saturday,"splunksearch01-exec-main"
15,15,01,00,Saturday,"splunksearch02-exec-main"
0,0,01,00,Saturday,"splunksearch02-stash-main"
15,15,01,00,Saturday,"splunksearch03-exec-main"
"149.6160092734448","1768.3839907265550",01,00,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Saturday,"usesplunkfwd01-detectify_findings-main"
"15.3333333333332380","16.6666666666667600",01,00,Saturday,"usesplunkfwd01-exec-main"
0,0,01,00,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Sunday,"splunkes01-ess_content_importer-main"
"304.845926684250060","351.154073315749940",01,00,Sunday,"splunkes01-stream:ip-main"
15,15,01,00,Sunday,"splunksearch01-exec-main"
15,15,01,00,Sunday,"splunksearch02-exec-main"
0,0,01,00,Sunday,"splunksearch02-stash-main"
15,15,01,00,Sunday,"splunksearch03-exec-main"
"345.2767459674307","1562.7232540325695",01,00,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Sunday,"usesplunkfwd01-exec-main"
0,0,01,00,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Thursday,"splunkes01-ess_content_importer-main"
"309.502354142896000","368.497645857104000",01,00,Thursday,"splunkes01-stream:ip-main"
15,15,01,00,Thursday,"splunksearch01-exec-main"
15,15,01,00,Thursday,"splunksearch02-exec-main"
0,0,01,00,Thursday,"splunksearch02-stash-main"
15,15,01,00,Thursday,"splunksearch03-exec-main"
"371.92675586361750","1628.07324413638250",01,00,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Thursday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Thursday,"usesplunkfwd01-exec-main"
0,0,01,00,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Tuesday,"splunkes01-ess_content_importer-main"
"315.367999952999800","412.632000047000200",01,00,Tuesday,"splunkes01-stream:ip-main"
15,15,01,00,Tuesday,"splunksearch01-exec-main"
15,15,01,00,Tuesday,"splunksearch02-exec-main"
0,0,01,00,Tuesday,"splunksearch02-stash-main"
15,15,01,00,Tuesday,"splunksearch03-exec-main"
"303.8634306139534","1602.1365693860466",01,00,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Tuesday,"usesplunkfwd01-exec-main"
0,0,01,00,Wednesday,"34.193.54.29:8088-httpevent-main"
0,0,01,00,Wednesday,"splunkes01-ess_content_importer-main"
"299.711872655723900","384.288127344276100",01,00,Wednesday,"splunkes01-stream:ip-main"
15,15,01,00,Wednesday,"splunksearch01-exec-main"
15,15,01,00,Wednesday,"splunksearch02-exec-main"
0,0,01,00,Wednesday,"splunksearch02-stash-main"
15,15,01,00,Wednesday,"splunksearch03-exec-main"
"900.106027473093600","1017.893972526906400",01,00,Wednesday,"usesplunkdeploy01-stream:ip-main"
0,0,01,00,Wednesday,"usesplunkfwd01-detectify_findings-main"
15,15,01,00,Wednesday,"usesplunkfwd01-exec-main"
0,0,01,15,Friday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Friday,"splunkes01-ess_content_importer-main"
